2018-01-09 09:15:12.711 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512709, lastWriteTime=1515460512711]
2018-01-09 09:15:12.716 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512711, lastWriteTime=1515460512716]
2018-01-09 09:15:12.717 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460512715, lastWriteTime=1515460512717]
2018-01-09 09:16:11.802 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571801, lastWriteTime=1515460571802]
2018-01-09 09:16:11.802 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571801, lastWriteTime=1515460571802]
2018-01-09 09:16:11.805 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571804, lastWriteTime=1515460571805]
2018-01-09 09:16:11.805 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571804, lastWriteTime=1515460571805]
2018-01-09 09:16:11.806 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571805, lastWriteTime=1515460571806]
2018-01-09 09:16:11.808 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571807, lastWriteTime=1515460571808]
2018-01-09 09:16:11.809 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571808, lastWriteTime=1515460571809]
2018-01-09 09:16:11.810 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571808, lastWriteTime=1515460571810]
2018-01-09 09:16:11.811 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571810, lastWriteTime=1515460571811]
2018-01-09 09:16:11.812 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460571811, lastWriteTime=1515460571812]
2018-01-09 09:17:10.903 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630902, lastWriteTime=1515460630903]
2018-01-09 09:17:10.903 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630901, lastWriteTime=1515460630903]
2018-01-09 09:17:10.904 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630901, lastWriteTime=1515460630904]
2018-01-09 09:17:10.907 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630905, lastWriteTime=1515460630907]
2018-01-09 09:17:10.908 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630906, lastWriteTime=1515460630908]
2018-01-09 09:17:10.910 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630908, lastWriteTime=1515460630910]
2018-01-09 09:17:10.912 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630910, lastWriteTime=1515460630912]
2018-01-09 09:17:10.912 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630909, lastWriteTime=1515460630912]
2018-01-09 09:17:10.912 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630911, lastWriteTime=1515460630912]
2018-01-09 09:17:10.915 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460630914, lastWriteTime=1515460630915]
2018-01-09 09:18:10.003 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690001, lastWriteTime=1515460690003]
2018-01-09 09:18:10.003 - ping -> pong, [channel=[id: 0x7bffd367, L:/192.168.1.100:3000 - R:/192.168.1.100:12391], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-5', userId='user-51', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690001, lastWriteTime=1515460690003]
2018-01-09 09:18:10.005 - ping -> pong, [channel=[id: 0xf0de67b6, L:/192.168.1.100:3000 - R:/192.168.1.100:12393], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-7', userId='user-71', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690003, lastWriteTime=1515460690005]
2018-01-09 09:18:10.005 - ping -> pong, [channel=[id: 0xfd815cef, L:/192.168.1.100:3000 - R:/192.168.1.100:12387], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-1', userId='user-11', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690004, lastWriteTime=1515460690005]
2018-01-09 09:18:10.007 - ping -> pong, [channel=[id: 0x79a4a280, L:/192.168.1.100:3000 - R:/192.168.1.100:12386], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-0', userId='user-01', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690005, lastWriteTime=1515460690007]
2018-01-09 09:18:10.007 - ping -> pong, [channel=[id: 0x7133bca6, L:/192.168.1.100:3000 - R:/192.168.1.100:12390], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-4', userId='user-41', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690006, lastWriteTime=1515460690007]
2018-01-09 09:18:10.008 - ping -> pong, [channel=[id: 0x22900cc4, L:/192.168.1.100:3000 - R:/192.168.1.100:12388], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-2', userId='user-21', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690007, lastWriteTime=1515460690008]
2018-01-09 09:18:10.010 - ping -> pong, [channel=[id: 0x78162749, L:/192.168.1.100:3000 - R:/192.168.1.100:12395], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-9', userId='user-91', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690009, lastWriteTime=1515460690010]
2018-01-09 09:18:10.011 - ping -> pong, [channel=[id: 0xcb776225, L:/192.168.1.100:3000 - R:/192.168.1.100:12389], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-3', userId='user-31', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690003, lastWriteTime=1515460690011]
2018-01-09 09:18:10.012 - ping -> pong, [channel=[id: 0x0129911c, L:/192.168.1.100:3000 - R:/192.168.1.100:12394], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-8', userId='user-81', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460690010, lastWriteTime=1515460690012]
2018-01-09 09:19:09.102 - ping -> pong, [channel=[id: 0x1c9311ce, L:/192.168.1.100:3000 - R:/192.168.1.100:12392], context={osName='android', osVersion='1.0.1', deviceId='test-device-id-6', userId='user-61', tags='test', heartbeat=60000}, status=1, lastReadTime=1515460749100, lastWriteTime=1515460749102]
